FALSE,Concorde Hotel,1.30103,103.84213,7am-6pm: $2.14 for 1st hr; $1.39 for sub. ½ hr,Aft 6pm: $3.75 per entry,Same as wkdays,$3.75 per entry,,0700-1800: 2.14; 1801-0659: 3.75,,0700-1800: 2.14; 1801-0659: 3.75,3.75,,END
FALSE,Conrad Centennial Hotel,1.29438,103.85877,7am-6pm: $3.30 for 1st hr; $1.10 for sub.½ hr,Aft 6pm: $2.20 per entry,$2.20 for 1st 2hrs; $1.10 for sub. hr,Same as Saturday,,0700-1800: 3.3; 1801-0659: 2.2,2.2,,2.2,,END
FALSE,Copthorne King's Hotel,1.28829,103.83699,7am-12am: $3 for 1st hr; $1.50 for sub ½ hr,Aft 12am: $4 for 1st hr; $2 for sub ½ hr,Same as wkdays,Same as wkdays,,0700-0000: 3; 0001-0659: 4 ,,0700-0000: 3; 0001-0659: 4 ,,0700-0000: 3; 0001-0659: 4 ,END
FALSE,Copthorne Orchid Hotel,1.3261,103.82397,8am-5pm: $1.50 for 1st hr; $1 for sub. hr. per day $20),Aft 5pm: $3 per entry,Same as wkdays,Same as wkdays,,0800-1700: 1.5; 1701-0759: 3,,0800-1700: 1.5; 1701-0759: 3,,0800-1700: 1.5; 1701-0759: 3,END
FALSE,Elizabeth Hotel,1.30615,103.83597,7am-5pm: $3 for 1st hr; $1.50 for sub. ½ hr,Aft 5pm: $4 per entry,$4 per entry,Same as Saturday,,0700-1700: 3; 1701-0659: 4,4,,4,,END
FALSE,Four Seasons Hotel,1.30484,103.82895,6am-5pm: $6 for 1st hr; $3 for sub. ½ hr,Aft 5pm: $6 per entry,Same as wkdays,Same as wkdays,,0500-1700: 6; 1701-0459: 6,,0500-1700: 6; 1701-0459: 6,,0500-1700: 6; 1701-0459: 6,END
FALSE,Furama City Centre Singapore,1.2858,103.8446,5am-5pm: $1.40 for 1st ½ hr; $1.50 for sub. ½ hr,Aft 5pm: $3 per entry,Same as wkdays,$3 per entry,,0500-1700: 1.4; 1701-0459: 3,,0500-1700: 1.4; 1701-0459: 3,3,,END
FALSE,Furama Riverfront Singapore,1.28848,103.83663,7am-5pm: $1 per ½ hr,Aft 5pm: $6 per entry,Same as wkdays,Same as wkdays,,0700-1700: 2; 1701-0659: 6,,0700-1700: 2; 1701-0659: 6,,0700-1700: 2; 1701-0659: 6,END
FALSE,Gallery Hotel,1.2905,103.83907,12pm-2pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr. $0.50 for sub. ½ hr from 2.01pm to 6.00pm for Mon-Thu,6pm-11.59pm: $3 for 1st hr; $1 for sub. ½ hr; $2 for 1st hr; $0.50 for sub. ½ hr  from 12am-11.59am for Mon-Thu,6am-11.59pm: $3 for 1st hr; $0.50 for sub. ½ hr. $3 for 1st hr; $0.50 for sub. ½ hr from 12am-1.59am for Fri-Sun/PH,$2 for 1st hr; $0.50 for sub. ½ hr from 2.01am-6am for Fri-Sun/PH,,1200-1400: 3; 1401-1800: 2; 1801-2359: 3; 0000-1159: 2,,0600-2359: 3; 0000-0159: 3 $3 for 1st hr; $0.50 for sub. � hr from 12am-1.59am for Fri-Sun/PH,2,,END
FALSE,Goodwood Park Hotel,1.3073,103.83328,8am-6pm: $4 for 1st hr; $2 for sub. ½ hr,Aft 6pm: $5 per entry,Same as wkdays,$5 per entry,,0800-1800: 4;  1801-0759: 5,,0800-1800: 4;  1801-0759: 5,5,,END
FALSE,Grand Copthorne Waterfront Hotel,1.29159,103.83531,7am-5pm: $3.75 for 1st hr; $2.14 for sub. hr,Aft 5pm: $4.28 per entry,Same as wkdays,$4.28 per entry,,0700-1700: 3.75; 1701-0659: 4.28,,0700-1700: 3.75; 1701-0659: 4.28,4.28,,END
FALSE,Grand Hyatt Hotel,1.3073,103.83328,4am-4.59pm: $3.21 for 1st hr; $1.07 for sub. ½ hr,Aft 5pm: $5.35 per entry,Same as wkdays,4am-3.59am: $5.35 per entry,,0400-1659: 3.21; 1700-0359: 5.35,,0400-1659: 3.21; 1700-0359: 5.35,5.35,,END
FALSE,Grand Mercure Roxy Hotel,1.30339,103.906792,Daily: $1.60 per hr,-,-,-,1.6,,1.6,,1.6,,END
FALSE,Grand Pacific Hotel (Formerly Allson Hotel),1.3019,103.85702,7am-5pm: $1.32 per ½ hr,Aft 5pm: $3.57 per entry,Same as wkdays,$3.57 per entry,,0700-1700: 1.32; 1701-0659: 3.57,,0700-1700: 1.32; 1701-0659: 3.57,3.57,,END
FALSE,Grand Park City Hall Hotel,1.29266,103.850922,7am-5pm: $3.28 for 1st hr; $1.55 for sub. ½ hr,Aft 5pm: $5.35 per entry,Same as wkdays,Same as wkdays,,0700-1700: 3.28; 1701-0659: 5.35,,0700-1700: 3.28; 1701-0659: 5.35,,0700-1700: 3.28; 1701-0659: 5.35,END
FALSE,Grand Park Orchard,1.30348,103.836761,8am-5pm: $3.50 for 1st hr; $1.50 for sub. ½ hr,Aft 5pm: $5 per entry,Same as wkdays,Same as wkdays,,0800-1700: 3.5; 1701-0759: 5,,0800-1700: 3.5; 1701-0759: 5,,0800-1700: 3.5; 1701-0759: 5,END
FALSE,Hilton Hotel,1.30356,103.8348,8am-6pm: $7 for 1st hr,Aft 6pm: $7 per entry,Same as wkdays,$7 per entry,7,,7,,7,,END
FALSE,Holiday Inn Atrium,1.28944,103.84998,7am-5pm: $1.80 per hr,Aft 5pm: $3.60 per entry,Same as wkdays,$3.60 per entry,,0700-1700: 1.8; 1701-0659: 3.6,,0700-1700: 1.8; 1701-0659: 3.6,3.6,,END
FALSE,Holiday Inn Express Singapore,1.30348,103.83676,$3 per ½ hr.,$3 per ½ hr.,Same as wkdays,Same as wkdays,6,,6,,6,,END
